Nome;Valore
apocalyptic;0.07
apologist;0.39
apologists;0.38
appal;0.17
appall;0.11
appalled;0.46
appalling;0.09
appallingly;0.22
apprehension;0.09
apprehensions;0.26
apprehensive;0.35
apprehensively;0.09
arbitrary;0.09
arcane;0.44
archaic;0.19
arduous;0.48
arduously;0.21
argumentative;0.06
arrogance;0.46
arrogant;0.22
arrogantly;0.1
ashamed;0.15
asinine;0.4
asininely;0.09
asinininity;0.24
askance;0.5
asperse;0.05
aspersion;0.24
aspersions;0.04
assail;0.2
assassin;0.43
assassinate;0.26
assault;0.04
assult;0.39
astray;0.25
asunder;0.31
atrocious;0.35
atrocities;0.35
atrocity;0.44
atrophy;0.26
attack;0.31
attacks;0.06
audacious;0.23
audaciously;0.36
audaciousness;0.08
audacity;0.43
audiciously;0.22
austere;0.47
authoritarian;0.07
autocrat;0.04
autocratic;0.41
avalanche;0.15
avarice;0.47
avaricious;0.18
avariciously;0.02
avenge;0.36
averse;0.45
aversion;0.48
aweful;0.1
awful;0.32
awfully;0.08
awfulness;0.18
awkward;0.45
awkwardness;0.16
ax;0.04
babble;0.45
back-logged;0.39
back-wood;0.38
back-woods;0.15
backache;0.04
backaches;0.4
backaching;0.31
backbite;0.05
backbiting;0.29
backward;0.39
backwardness;0.17
backwood;0.36
backwoods;0.05
bad;0.18
badly;0.04
baffle;0.07
baffled;0.05
bafflement;0.24
baffling;0.09
bait;0.2
balk;0.07
banal;0.32
banalize;0.38
bane;0.1
banish;0.46
banishment;0.25
bankrupt;0.37
barbarian;0.25
barbaric;0.22
barbarically;0.28
barbarity;0.27
barbarous;0.01
barbarously;0.47
barren;0.49
baseless;0.17
bash;0.23
bashed;0.43
bashful;0.18
bashing;0.42
bastard;0.33
bastards;0.37
battered;0.43
battering;0.23
batty;0.49
bearish;0.46
beastly;0.43
bedlam;0.03
bedlamite;0.06
befoul;0.02
beg;0.42
beggar;0.28
beggarly;0.11
begging;0.17
beguile;0.04
belabor;0.49
belated;0.13
beleaguer;0.31
belie;0.1
belittle;0.03
belittled;0.12
belittling;0.07
bellicose;0.15
belligerence;0.2
belligerent;0.26
belligerently;0.21
bemoan;0.07
bemoaning;0.25
bemused;0.25
bent;0.29
berate;0.35
bereave;0.18
bereavement;0.48
bereft;0.39
berserk;0.15
beseech;0.34
beset;0.05
besiege;0.17
besmirch;0.34
bestial;0.18
betray;0.12
betrayal;0.4
betrayals;0.14
betrayer;0.19
betraying;0.2
betrays;0.39
bewail;0.4
beware;0.46
bewilder;0.14
bewildered;0.43
bewildering;0.43
bewilderingly;0.15
bewilderment;0.08
bewitch;0.49
bias;0.33
biased;0.41
biases;0.3
bicker;0.06
bickering;0.48
bid-rigging;0.34
bigotries;0.23
bigotry;0.16
bitch;0.39
bitchy;0.46
biting;0.17
bitingly;0.15
bitter;0.43
bitterly;0.33
bitterness;0
bizarre;0.05
blab;0.14
blabber;0.34
blackmail;0.29
blah;0.12
blame;0.19
blameworthy;0.19
bland;0.11
blandish;0.01
blaspheme;0.27
blasphemous;0.29
blasphemy;0.48
blasted;0.22
blatant;0.36
blatantly;0.06
blather;0.29
bleak;0.19
bleakly;0.29
bleakness;0.35
bleed;0.34
bleeding;0.26
bleeds;0.28
blemish;0.21
blind;0.46
blinding;0.13
blindingly;0.41
blindside;0.08
blister;0.5
blistering;0.13
bloated;0.17
blockage;0.24
blockhead;0.03
bloodshed;0.27
bloodthirsty;0.33
bloody;0.1
blotchy;0.42
blow;0.27
blunder;0.31
blundering;0.35
blunders;0.17
blunt;0.38
blur;0.35
bluring;0.41
blurred;0.01
blurring;0.39
blurry;0.09
blurs;0.42
blurt;0.32
boastful;0.35
boggle;0.28
bogus;0.07
boil;0.31
boiling;0.44
boisterous;0.21
bomb;0.06
bombard;0.03
bombardment;0.3
bombastic;0.17
bondage;0.42
bonkers;0.3
bore;0.29
bored;0.12
boredom;0.39
bores;0.46
boring;0.11
botch;0.41
bother;0.21
bothered;0.26
bothering;0.15
bothers;0.28
bothersome;0.32
bowdlerize;0.07
boycott;0.06
braggart;0.13
bragger;0.34
brainless;0.09
brainwash;0.03
brash;0.03
brashly;0.45
brashness;0.38
brat;0.39
bravado;0.39
brazen;0.02
brazenly;0.19
brazenness;0.19
breach;0.47
break;0.04
break-up;0.13
break-ups;0.08
breakdown;0.34
breaking;0.26
breaks;0.01
breakup;0.11
breakups;0.4
bribery;0.17
brimstone;0.12
bristle;0.3
brittle;0.45
broke;0.38
broken;0.41
broken-hearted;0.49
brood;0.47
browbeat;0.09
bruise;0.08
bruised;0.4
bruises;0.01
bruising;0.2
brusque;0.46
brutal;0.24
brutalising;0.49
brutalities;0.01
brutality;0.06
brutalize;0.44
brutalizing;0.37
brutally;0.26
brute;0.43
brutish;0.36
bs;0.04
buckle;0.38
bug;0.15
bugging;0.21
buggy;0.28
bugs;0.03
bulkier;0.42
bulkiness;0.19
bulky;0.42
bulkyness;0.22
bull****;0.4
bull----;0.2
bullies;0.29
bullshit;0.05
bullshyt;0.36
bully;0.48
bullying;0.1
bullyingly;0.43
bum;0.28
bump;0.19
bumped;0.1
bumping;0.11
bumpping;0.42
bumps;0.23
bumpy;0.23
bungle;0.26
bungler;0.25
bungling;0.34
bunk;0.02
burden;0.37
burdensome;0.01
burdensomely;0.48
burn;0.23
burned;0.4
burning;0.21
burns;0.15
bust;0.14
busts;0.3
busybody;0.47
butcher;0.26
butchery;0.31
buzzing;0.47
byzantine;0.11
cackle;0.3
calamities;0.11
calamitous;0.29
calamitously;0.01
calamity;0.18
callous;0.27
calumniate;0.07
calumniation;0.04
calumnies;0.42
calumnious;0.1
calumniously;0.17
calumny;0.05
cancer;0.49
cancerous;0.21
cannibal;0.46
cannibalize;0.19
capitulate;0.33
capricious;0.42
capriciously;0.16
capriciousness;0.19
capsize;0.19
careless;0.48
carelessness;0.34
caricature;0.3
carnage;0.26
carp;0.21
cartoonish;0.15
cash-strapped;0.05
castigate;0.23
castrated;0.1
casualty;0.01
cataclysm;0.08
cataclysmal;0.12
cataclysmic;0.05
cataclysmically;0.27
catastrophe;0.31
catastrophes;0.47
catastrophic;0.37
catastrophically;0.35
catastrophies;0.02
caustic;0.36
caustically;0.2
cautionary;0.23
cave;0.04
censure;0.12
chafe;0.18
chaff;0.09
chagrin;0.13
challenging;0.21
chaos;0.1
chaotic;0.46
chasten;0.31
chastise;0.12
chastisement;0.03
chatter;0.37
chatterbox;0.28
cheap;0.36
cheapen;0.28
cheaply;0.04
cheat;0.44
cheated;0.13
cheater;0.37
cheating;0.44
cheats;0.26
checkered;0.04
cheerless;0.3
cheesy;0.16
chide;0.05
childish;0.44
chill;0.09
chilly;0.1
chintzy;0.15
choke;0.04
choleric;0.09
choppy;0.14
chore;0.09
chronic;0.39
chunky;0.25
clamor;0.47
clamorous;0.44
clash;0.44
cliche;0.05
cliched;0.12
clique;0.02
clog;0.48
clogged;0.36
clogs;0.04
cloud;0.05
clouding;0.08
cloudy;0.26
clueless;0.08
clumsy;0.44
clunky;0.29
coarse;0.32
cocky;0.21
coerce;0.15
coercion;0.43
coercive;0.28
cold;0.08
coldly;0.16
collapse;0.4
collude;0.2
collusion;0.29
combative;0.03
combust;0.26
comical;0.27
commiserate;0.15
commonplace;0.01
commotion;0.09
commotions;0.22
complacent;0.08
complain;0.21
complained;0.2
complaining;0.17
complains;0.12
complaint;0.37
complaints;0.04
complex;0.34
complicated;0.21
complication;0.16
complicit;0.15
compulsion;0.1
compulsive;0.35
concede;0.28
conceded;0.27
conceit;0.33
conceited;0.42
concen;0.15
concens;0.18
concern;0.45
concerned;0.38
concerns;0.32
concession;0.45
concessions;0.41
condemn;0.45
condemnable;0.1
condemnation;0.08
condemned;0.29
condemns;0.46
condescend;0.3
condescending;0.37
condescendingly;0.31
condescension;0.31
confess;0.29
confession;0.16
confessions;0.29
confined;0.49
conflict;0.38
conflicted;0.11
conflicting;0.23
conflicts;0.09
confound;0.36
confounded;0.15
confounding;0.12
confront;0.33
confrontation;0.22
confrontational;0.32
confuse;0.03
confused;0.1
confuses;0.45
confusing;0.46
confusion;0.49
confusions;0.17
congested;0.48
congestion;0.06
cons;0.08
conscons;0.15
conservative;0.39
conspicuous;0.34
conspicuously;0.38
conspiracies;0.26
conspiracy;0.47
conspirator;0.34
conspiratorial;0.35
conspire;0.43
consternation;0.36
contagious;0.34
contaminate;0
contaminated;0.16
contaminates;0.32
contaminating;0.33
contamination;0.19
contempt;0.4
contemptible;0.13
contemptuous;0.3
contemptuously;0.02
contend;0.13
contention;0.34
contentious;0.25
contort;0.22
contortions;0.42
contradict;0.25
contradiction;0.33
contradictory;0.03
contrariness;0.45
contravene;0.27
contrive;0.01
contrived;0.01
controversial;0.42
controversy;0.25
convoluted;0.06
corrode;0.11
corrosion;0.46
corrosions;0.48
corrosive;0.2
corrupt;0.3
corrupted;0.42
corrupting;0.08
corruption;0
corrupts;0.18
corruptted;0.45
costlier;0.29
costly;0.05
counter-productive;0.49
counterproductive;0.31
coupists;0.03
covetous;0.23
coward;0.01
cowardly;0.35
crabby;0.26
crack;0.31
cracked;0.44
cracks;0.32
craftily;0.3
craftly;0.34
crafty;0.33
cramp;0.2
cramped;0.22
cramping;0.17
cranky;0.21
crap;0.32
crappy;0.4
craps;0.37
crash;0.37
crashed;0.08
crashes;0.32
crashing;0.07
crass;0.16
craven;0.16
cravenly;0.34
craze;0.04
crazily;0.38
craziness;0.14
crazy;0.32
creak;0.04
creaking;0.1
creaks;0.49
credulous;0.23
creep;0.31
creeping;0.3
creeps;0.19
creepy;0.39
crept;0.07
crime;0.26
criminal;0.35
cringe;0.2
cringed;0.14
cringes;0.06
cripple;0.04
crippled;0.1
cripples;0.13
crippling;0.18
crisis;0.05
critic;0.35
critical;0.39
criticism;0.47
criticisms;0.48
criticize;0.03
criticized;0.22
criticizing;0.49
critics;0.35
cronyism;0.14
crook;0.28
crooked;0.4
crooks;0.07
crowded;0.43
crowdedness;0.4
crude;0.33
cruel;0.05
crueler;0.22
cruelest;0.03
cruelly;0.29
cruelness;0.25
cruelties;0.46
cruelty;0.34
crumble;0.08
crumbling;0.18
crummy;0.35
crumple;0.09
crumpled;0.32
crumples;0.2
crush;0.02
crushed;0.1
crushing;0.43
cry;0.09
culpable;0.38
culprit;0.33
cumbersome;0.05
cunt;0.3
cunts;0.31
cuplrit;0.21
curse;0.17
cursed;0.15
curses;0.43
curt;0.29
cuss;0.33
cussed;0
cutthroat;0.39
cynical;0.5
cynicism;0.18
d*mn;0.35
damage;0.22
damaged;0.27
damages;0.26
damaging;0.03
damn;0.31
damnable;0.43
damnably;0.3
damnation;0.31
damned;0.01
damning;0.26
damper;0.34
danger;0.19
dangerous;0.01
dangerousness;0.32
dark;0.05
darken;0.34
darkened;0.21
darker;0.05
darkness;0.17
dastard;0.04
dastardly;0.01
daunt;0.46
daunting;0.44
dauntingly;0.4
dawdle;0.48
daze;0.07
dazed;0.34
dead;0.45
deadbeat;0.11
deadlock;0.48
deadly;0.05
deadweight;0.41
deaf;0.26
dearth;0.17
death;0.39
debacle;0.49
debase;0.15
debasement;0.32
debaser;0.05
debatable;0.38
debauch;0.45
debaucher;0.46
debauchery;0.04
debilitate;0.39
debilitating;0.17
debility;0.18
debt;0.17
debts;0.34
decadence;0.28
decadent;0
decay;0.21
decayed;0.15
deceit;0.01
deceitful;0.25
deceitfully;0.02
deceitfulness;0.13
deceive;0.23
deceiver;0.26
deceivers;0.22
deceiving;0.14
deception;0.45
deceptive;0.26
deceptively;0.48
declaim;0.23
decline;0.27
declines;0.17
declining;0.2
decrement;0.15
decrepit;0.18
decrepitude;0.05
decry;0.35
defamation;0.37
defamations;0.44
defamatory;0.47
defame;0.2
defect;0.25
defective;0.41
defects;0.12
defensive;0.05
defiance;0.08
defiant;0.06
defiantly;0.39
deficiencies;0.44
deficiency;0.02
deficient;0.18
defile;0.49
defiler;0.28
deform;0.46
deformed;0.09
defrauding;0.33
defunct;0.18
defy;0.37
degenerate;0.43
degenerately;0.42
degeneration;0.27
degradation;0.32
degrade;0.25
degrading;0.3
degradingly;0.08
dehumanization;0.47
dehumanize;0.49
deign;0.04
deject;0.31
dejected;0.29
dejectedly;0.08
dejection;0.28
delay;0
delayed;0.2
delaying;0.06
delays;0.21
delinquency;0.11
delinquent;0.18
delirious;0.21
delirium;0.46
delude;0.4
deluded;0.22
deluge;0.06
delusion;0.05
delusional;0.11
delusions;0.49
demean;0.28
demeaning;0.1
demise;0.14
demolish;0.39
demolisher;0.13
demon;0.03
demonic;0.26
demonize;0.12
demonized;0.05
demonizes;0.24
demonizing;0.13
demoralize;0.38
demoralizing;0.24
demoralizingly;0.48
denial;0.46
denied;0.38
denies;0.31
denigrate;0.28
denounce;0.14
dense;0.31
dent;0.19
dented;0.34
dents;0.2
denunciate;0.31
denunciation;0.12
denunciations;0.02
deny;0.17
denying;0.31
deplete;0.02
deplorable;0.2
deplorably;0.08
deplore;0.2
deploring;0.17
deploringly;0.43
deprave;0.34
depraved;0.49
depravedly;0.14
deprecate;0.34
depress;0.44
depressed;0.28
depressing;0.34
depressingly;0.38
depression;0.01
depressions;0.1
deprive;0.32
deprived;0.2
deride;0.32
derision;0.1
derisive;0.05
derisively;0.3
derisiveness;0.13
derogatory;0.35
desecrate;0.2
desert;0.37
desertion;0.48
desiccate;0.14
desiccated;0.45
desititute;0.31
desolate;0.26
desolately;0.22
desolation;0.32
despair;0.15
despairing;0.12
despairingly;0.34
desperate;0.37
desperately;0.12
desperation;0.5
despicable;0.27
despicably;0.28
despise;0.15
despised;0.48
despoil;0.4
despoiler;0.09
despondence;0.02
despondency;0.34
despondent;0.38
despondently;0.08
despot;0.23
despotic;0.44
despotism;0.39
destabilisation;0.04
destains;0.35
destitute;0.31
destitution;0.1
destroy;0.2
destroyer;0.09
destruction;0.26
destructive;0.21
desultory;0.35
deter;0.38
deteriorate;0.21
deteriorating;0.13
deterioration;0.01
deterrent;0.34
detest;0.16
detestable;0.29
detestably;0.46
detested;0.29
detesting;0.04
detests;0.04
detract;0.07
detracted;0.44
detracting;0.38
detraction;0.41
detracts;0.43
detriment;0.47
detrimental;0.39
devastate;0.39
devastated;0.42
devastates;0.11
devastating;0.27
devastatingly;0.02
devastation;0.11
deviate;0.4
deviation;0.22
devil;0.02
devilish;0.3
devilishly;0.14
devilment;0.16
devilry;0.01
devious;0.31
deviously;0.41
deviousness;0.13
devoid;0.43
diabolic;0.49
diabolical;0.09
diabolically;0.46
diametrically;0.04
diappointed;0.41
diatribe;0.05
diatribes;0.46
dick;0.38
dictator;0.17
dictatorial;0.49
die;0.35
die-hard;0.22
died;0.35
dies;0.38
difficult;0.02
difficulties;0.12
difficulty;0.39
diffidence;0.03
dilapidated;0.08
dilemma;0.3
dilly-dally;0.28
dim;0.47
dimmer;0.41
din;0.19
ding;0
dings;0.05
dinky;0.46
dire;0.11
direly;0.33
direness;0.42
dirt;0.13
dirtbag;0.3
dirtbags;0.48
dirts;0.07
dirty;0.17
disable;0.38
disabled;0.41
disaccord;0.29
disadvantage;0.43
disadvantaged;0.48
disadvantageous;0.25
disadvantages;0.14
disaffect;0.02
disaffected;0.04
disaffirm;0.42
disagree;0.25
disagreeable;0.29
disagreeably;0.06
disagreed;0.28
disagreeing;0.35
disagreement;0.04
disagrees;0.18
disallow;0.29
disapointed;0.19
disapointing;0.35
disapointment;0.1
disappoint;0.22
disappointed;0.25
disappointing;0.36
disappointingly;0.49
disappointment;0.31
disappointments;0.3
disappoints;0.34
disapprobation;0.08
disapproval;0.3
disapprove;0.27
disapproving;0.13
disarm;0.25
disarray;0.43
disaster;0.29
disasterous;0.48
disastrous;0.08
disastrously;0.13
disavow;0.15
disavowal;0.14
disbelief;0.48
disbelieve;0.02
disbeliever;0.36
disclaim;0.07
discombobulate;0.27
discomfit;0.35
discomfititure;0.29
discomfort;0.29
discompose;0.47
disconcert;0.34
disconcerted;0.05
disconcerting;0.4
disconcertingly;0.05
disconsolate;0.3
disconsolately;0.09
disconsolation;0.44
discontent;0.26
discontented;0.13
discontentedly;0.12
discontinued;0.15
discontinuity;0.42
discontinuous;0.05
discord;0.32
discordance;0.23
discordant;0.38
discountenance;0.23
discourage;0.08
discouragement;0.22
discouraging;0.09
discouragingly;0.12
discourteous;0.11
discourteously;0.16
discoutinous;0.31
discredit;0.39
discrepant;0.22
discriminate;0.21
discrimination;0.41
discriminatory;0.32
disdain;0.17
disdained;0.02
disdainful;0.19
disdainfully;0.19
disfavor;0.41
disgrace;0.43
disgraced;0.2
disgraceful;0.24
disgracefully;0.24
disgruntle;0.39
disgruntled;0.39
disgust;0.22
disgusted;0.22
disgustedly;0.3
disgustful;0.42
disgustfully;0.25
disgusting;0.42
disgustingly;0.42
dishearten;0.02
disheartening;0.03
dishearteningly;0.24
dishonest;0.39
dishonestly;0.37
dishonesty;0.08
dishonor;0.31
dishonorable;0.24
dishonorablely;0.4
disillusion;0.06
disillusioned;0.19
disillusionment;0.03
disillusions;0.22
disinclination;0.08
disinclined;0.05
disingenuous;0.03
disingenuously;0.19
disintegrate;0.01
disintegrated;0.33
disintegrates;0.33
disintegration;0.1
disinterest;0.37
disinterested;0.08
dislike;0.47
disliked;0.46
dislikes;0.06
disliking;0.27
dislocated;0.05
disloyal;0.34
disloyalty;0.04
dismal;0.38
dismally;0.29
dismalness;0.28
dismay;0.23
dismayed;0.28
dismaying;0.17
dismayingly;0.04
dismissive;0.42
dismissively;0.13
disobedience;0.25
disobedient;0.27
disobey;0.43
disoobedient;0.41
disorder;0.25
disordered;0.05
disorderly;0.46
disorganized;0.09
disorient;0.38
disoriented;0.21
disown;0.28
disparage;0.48
disparaging;0.12
disparagingly;0.5
dispensable;0.04
dispirit;0.24
dispirited;0.09
dispiritedly;0.16
dispiriting;0.3
displace;0.07
displaced;0.45
displease;0.03
displeased;0.08
displeasing;0.47
displeasure;0.46
disproportionate;0.1
disprove;0.08
disputable;0.19
dispute;0.04
disputed;0.24
disquiet;0.31
disquieting;0.44
disquietingly;0.39
disquietude;0.23
disregard;0.14
disregardful;0.31
disreputable;0.19
disrepute;0.25
disrespect;0.23
disrespectable;0.07
disrespectablity;0.08
disrespectful;0.48
disrespectfully;0.17
disrespectfulness;0.31
disrespecting;0.32
disrupt;0.02
disruption;0.31
disruptive;0.14
diss;0.02
dissapointed;0.32
dissappointed;0.4
dissappointing;0.47
dissatisfaction;0.36
dissatisfactory;0.4
dissatisfied;0.07
dissatisfies;0.27
dissatisfy;0.15
dissatisfying;0.24
dissed;0.09
dissemble;0.3
dissembler;0.4
dissension;0.42
dissent;0.05
dissenter;0.02
dissention;0
disservice;0.33
disses;0.43
dissidence;0.39
dissident;0.07
dissidents;0.28
dissing;0.35
dissocial;0.24
dissolute;0.14
dissolution;0.11
dissonance;0.43
dissonant;0.3
dissonantly;0.16
dissuade;0.42
dissuasive;0.18
distains;0.17
distaste;0.17
distasteful;0.19
distastefully;0.48
distort;0.21
distorted;0.02
distortion;0.06
distorts;0.28
distract;0.2
distracting;0.44
distraction;0.14
distraught;0.16
distraughtly;0.38
distraughtness;0.09
distress;0.31
distressed;0.27
distressing;0.37
distressingly;0.03
distrust;0.04
distrustful;0.31
distrusting;0.21
disturb;0.46
disturbance;0.46
disturbed;0.1
disturbing;0.42
disturbingly;0.09
disunity;0.18
disvalue;0.08
divergent;0.08
divisive;0.49
divisively;0.36
divisiveness;0.33
dizzing;0.42
dizzingly;0.44
dizzy;0.23
doddering;0.24
dodgey;0.48
dogged;0.14
doggedly;0.24
dogmatic;0.33
doldrums;0.16
domineer;0.47
domineering;0.07
donside;0.49
doom;0.36
doomed;0.29
doomsday;0.04
dope;0.36
doubt;0.11
doubtful;0.06
doubtfully;0.17
doubts;0.1
douchbag;0.37
douchebag;0.14
douchebags;0.03
downbeat;0.04
downcast;0.11
downer;0.27
downfall;0.14
downfallen;0.12
downgrade;0.15
downhearted;0.49
downheartedly;0.28
downhill;0.12
downside;0.32
downsides;0.27
downturn;0.39
downturns;0.43
drab;0.3
draconian;0.5
draconic;0.04
drag;0
dragged;0.43
dragging;0.38
dragoon;0.47
drags;0.04
drain;0
drained;0.21
draining;0.09
drains;0.28
drastic;0.5
drastically;0.05
drawback;0.28
drawbacks;0.34
dread;0.33
dreadful;0.16
dreadfully;0.47
dreadfulness;0.08
dreary;0.07
dripped;0.44
dripping;0.02
drippy;0.27
drips;0.34
drones;0.12
droop;0.36
droops;0.22
drop-out;0.38
drop-outs;0.23
dropout;0.49
dropouts;0.14
drought;0.48
drowning;0.11
drunk;0.45
drunkard;0.12
drunken;0.5
dubious;0.34
dubiously;0.5
dubitable;0.12
dud;0.13
dull;0.03
dullard;0.01
dumb;0.19
dumbfound;0.35
dump;0.11
dumped;0.13
dumping;0.43
dumps;0.04
dunce;0.01
dungeon;0.2
dungeons;0.49
dupe;0.07
dust;0.03
dusty;0.13
dwindling;0.14
dying;0.24
earsplitting;0.24
eccentric;0.4
eccentricity;0.47
effigy;0.02
effrontery;0.3
egocentric;0.28
egomania;0.3
egotism;0.17
egotistical;0.49
egotistically;0.3
egregious;0.1
egregiously;0.11
election-rigger;0.49
elimination;0.44
emaciated;0.4
emasculate;0.13
embarrass;0.31
embarrassing;0.17
embarrassingly;0.13
embarrassment;0.03
embattled;0.2
embroil;0.29
embroiled;0.42
embroilment;0.15
emergency;0.42
emphatic;0.35
emphatically;0.14
emptiness;0.2
encroach;0.36
encroachment;0.15
endanger;0.02
enemies;0.02
enemy;0.02
enervate;0.44
enfeeble;0.29
enflame;0.12
engulf;0.21
enjoin;0.23
enmity;0.19
enrage;0.05
enraged;0.38
enraging;0.08
enslave;0.27
entangle;0.23
entanglement;0.2
entrap;0.1
entrapment;0.32
envious;0.34
enviously;0.31
enviousness;0.11
epidemic;0.37
equivocal;0.29
erase;0.17
erode;0.38
erodes;0.23
erosion;0.28
err;0.08
errant;0.47
erratic;0.11
erratically;0.14
erroneous;0.06
erroneously;0.33
error;0.09
errors;0.34
eruptions;0.27
escapade;0.11
eschew;0.12
estranged;0.24
evade;0.33
evasion;0.1
evasive;0.04
evil;0
evildoer;0.39
evils;0.36
eviscerate;0.07
exacerbate;0.45
exagerate;0.23
exagerated;0.2
exagerates;0.17
exaggerate;0.18
exaggeration;0.33
exasperate;0.4
exasperated;0.37
exasperating;0.3
exasperatingly;0.5
exasperation;0.11
excessive;0
excessively;0.38
exclusion;0.02
excoriate;0.42
excruciating;0.43
excruciatingly;0.17
excuse;0.21
excuses;0.34
execrate;0.14
exhaust;0.4
exhausted;0.29
exhaustion;0.27
exhausts;0.14
exhorbitant;0.35
exhort;0.06
exile;0.33
exorbitant;0.24
exorbitantance;0.44
exorbitantly;0.34
expel;0.33
expensive;0.14
expire;0.29
expired;0.43
explode;0.36
exploit;0.4
exploitation;0.36
explosive;0.47
expropriate;0.08
expropriation;0.19
expulse;0.34
expunge;0.18
exterminate;0.18
extermination;0.13
extinguish;0.44
extort;0.49
extortion;0.34
extraneous;0.01
extravagance;0.43
extravagant;0.24
extravagantly;0.18
extremism;0.31
extremist;0.12
extremists;0.22
eyesore;0.33
f**k;0.13
fabricate;0.47
fabrication;0.46
facetious;0.24
facetiously;0.12
fail;0.47
failed;0.17
failing;0.5
fails;0.44
failure;0.02
failures;0.38
faint;0.48
fainthearted;0.21
faithless;0.11
fake;0.19
fall;0.21
fallacies;0.1
fallacious;0.24
fallaciously;0.03
fallaciousness;0.02
fallacy;0.16
fallen;0.33
falling;0.36
fallout;0.03
falls;0.08
false;0.35
falsehood;0.27
falsely;0.28
falsify;0.2
falter;0.45
faltered;0.34
famine;0.49
famished;0.37
fanatic;0.22
fanatical;0.19
fanatically;0.03
fanaticism;0.15
fanatics;0.04
fanciful;0.4
far-fetched;0.05
farce;0.34
farcical;0.37
farcical-yet-provocative;0.04
farcically;0.47
farfetched;0.04
fascism;0.3
fascist;0.29
fastidious;0.02
fastidiously;0.24
fastuous;0.22
fat;0.13
fat-cat;0.45
fat-cats;0
fatal;0.03
fatalistic;0.23
fatalistically;0.04
fatally;0.21
fatcat;0.27
fatcats;0.28
fateful;0.45
fatefully;0.01
fathomless;0.39
fatigue;0.31
fatigued;0.02
fatique;0.46
fatty;0.29
fatuity;0.07
fatuous;0.16
fatuously;0.46
fault;0.06
faults;0.27
faulty;0.27
fawningly;0.04
faze;0.4
fear;0.08
fearful;0.34
fearfully;0.4
fears;0.34
fearsome;0.45
feckless;0.25
feeble;0.07
feeblely;0.36
feebleminded;0.24
feign;0.1
feint;0.47
fell;0.43
felon;0.16
felonious;0.47
ferociously;0.24
ferocity;0.39
fetid;0.17
fever;0.5
feverish;0.07
fevers;0.4
fiasco;0.37
fib;0.48
fibber;0.39
fickle;0.09
fiction;0.24
fictional;0.27
fictitious;0.12
fidget;0.29
fidgety;0.38
fiend;0.11
fiendish;0.14
fierce;0.24
figurehead;0.06
filth;0.22
filthy;0.37
finagle;0.39
